feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
proposedharmonizeto,6.0,0.025320192307072446,MEU,Model 1,
encaps,6.0,0.02361283978496571,MEU,Model 1,
harmonized,6.0,0.01915936477407526,MEU,Model 1,
cformin,6.0,0.017825514022018683,MEU,Model 1,
aocs,6.0,0.015060056932869041,MEU,Model 1,
thiswillbeharmonizedto,6.0,0.011268053508413785,MEU,Model 1,
monohydrate,6.0,0.010121751689394,MEU,Model 1,
hplc,6.0,0.010039807480076584,MEU,Model 1,
gran,6.0,0.007635777797353542,MEU,Model 1,
fine,6.0,0.0071567563977335755,MEU,Model 1,
comparison,6.0,0.003921696303863823,MEU,Model 1,
citricacidmonohydrate,6.0,0.0,MEU,Model 1,
citricacidmonohydratedfinegranular,6.0,0.0,MEU,Model 1,
proposed,6.0,0.0,MEU,Model 1,
citricacidnon,6.0,0.0,MEU,Model 1,
color,6.0,0.0,MEU,Model 1,
comparativesolution,6.0,0.0,MEU,Model 1,
harmonize,6.0,0.0,MEU,Model 1,
non,6.0,0.0,MEU,Model 1,
granular,6.0,0.0,MEU,Model 1,
donot,6.0,0.0,MEU,Model 1,
use,6.0,0.0,MEU,Model 1,
mediumgran,6.0,0.0,MEU,Model 1,
medium,6.0,0.0,MEU,Model 1,
gmo,6.0,0.0,MEU,Model 1,
opalescencesolution,6.0,0.0,MEU,Model 1,
crystals,6.0,0.0,MEU,Model 1,
acid,7.0,1.0,MEU,Model 1,
citric,7.0,0.9405013318413453,MEU,Model 1,
others,7.0,0.6335043130742932,MEU,Model 1,
Quantitative - Moisture - Max,7.0,0.47498447146798073,MEU,Model 1,
"Quantitative - Ash, sulphated - Max",7.0,0.4718803106092931,MEU,Model 1,
citricacid,7.0,0.36211887603871173,MEU,Model 1,
"Standard Composition - CITRIC ACID - Value, %",7.0,0.32484392745331203,MEU,Model 1,
karl,7.0,0.3169833495670253,MEU,Model 1,
Quantitative - Assay (anhydrous basis) - Max,7.0,0.2669589363496395,MEU,Model 1,
additive,7.0,0.24431848554991129,MEU,Model 1,
fischer,7.0,0.23719190368383355,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Total Shelf Life,7.0,0.2078590306415462,MEU,Model 1,
colour,7.0,0.1885904879934516,MEU,Model 1,
water,7.0,0.17799789860272705,MEU,Model 1,
eur,7.0,0.15647481143383002,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Min Remaining SL Upon Receipt,7.0,0.14280356176531459,MEU,Model 1,
Total Solids %,7.0,0.11440981681805054,MEU,Model 1,
soln,7.0,0.1066703252009452,MEU,Model 1,
fcc,7.0,0.10521022532509207,MEU,Model 1,
comparision,7.0,0.1017049037252437,MEU,Model 1,
monograph,7.0,0.09793279751581876,MEU,Model 1,
anhydrous,7.0,0.08393097885922794,MEU,Model 1,
powder,7.0,0.07066717290617548,MEU,Model 1,
ph,7.0,0.06798847126760044,MEU,Model 1,
Quantitative - Sulphates - Max,7.0,0.05651100531561964,MEU,Model 1,
monohydrated,7.0,0.055797340858129915,MEU,Model 1,
encapsulated,7.0,0.055071632082111285,MEU,Model 1,
jecfa,7.0,0.05497816210275034,MEU,Model 1,
ngm,7.0,0.04871341240959631,MEU,Model 1,
fine,7.0,0.03225070315298229,MEU,Model 1,
min,7.0,0.03126190993538627,MEU,Model 1,
harmonized,7.0,0.02997220655406625,MEU,Model 1,
cformin,7.0,0.0275059878228185,MEU,Model 1,
medium,7.0,0.02504078334985767,MEU,Model 1,
jab,7.0,0.02365769166601265,MEU,Model 1,
aocs,7.0,0.021434131552453578,MEU,Model 1,
harmonize,7.0,0.021186237718998194,MEU,Model 1,
gmo,7.0,0.020731120870118407,MEU,Model 1,
crystals,7.0,0.020239055606336914,MEU,Model 1,
