Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000006653,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000006712,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000000723,1.0000000000000004,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000002395,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000006627,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000006843,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000006844,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000006846,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000007251,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000007732,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000007977,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000008049,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000001439,0.8712042895649807,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000006808,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000000289,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000000616,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000000638,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000005407,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000006653,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000000723,Additive-Citric Acid,MEU,ward_euclidean,800.0,3045.063314151512,8,2,8,200000006712,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000005407,0.9999999999999999,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000002395,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000006627,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000006843,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000006844,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000006846,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000007251,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000007732,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000007977,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000008049,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000001439,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000006808,0.7961332975711797,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000000289,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000000616,0.8552344454211954,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000000638,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000000723,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000006653,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
200000005407,CITRIC ACID 50%,MEU,ward_euclidean,1050.0,13523.422281172921,7,2,7,200000006712,,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%
